remark,"CSV-Import-Export"
remark,"Date = Thu Mar 21 13:57:12 2019"
remark,"Version = RSLogix 5000 v30.01"
remark,"Owner = Windows User"
remark,"Company = Brock Solutions"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
ALIAS,,F_BM1_08_MSD_OFF,"MTR/BM1-08 Disconnect Off","","F_C[6].22","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_08_OUTSERV,"MTR/BM1-08 Out of Service","","F_C[6].23","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_08_OVRIDE,"MTR/BM1-08 HMI Override","","F_C[6].24","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_08_PE_JAMMED,"MTR/BM1-08 PE Jam","","F_PE[0].2","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_08_VFD_FAULT,"MTR/BM1-08 VFD Fault","","F_C[6].19","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_CTCTR_FAULT,"MTR/BM1-09 Contactor Fault","","F_C[6].13","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_ENCODER_FAULT,"MTR/BM1-09 Encoder Fault","","F_C[6].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_MOL,"MTR/BM1-09 Motor Overload","","F_C[6].11","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_MSD_OFF,"MTR/BM1-09 Disconnect Off","","F_C[6].15","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_OUTSERV,"MTR/BM1-09 Out of Service","","F_C[6].16","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_OVRIDE,"MTR/BM1-09 HMI Override","","F_C[6].17","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_PE_JAMMED,"MTR/BM1-09 PE Jam","","F_PE[0].3","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_09_VFD_FAULT,"MTR/BM1-09 VFD Fault","","F_C[6].12","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_CTCTR_FAULT,"MTR/BM1-10 Contactor Fault","","F_C[6].6","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_ENCODER_FAULT,"MTR/BM1-10 Encoder Fault","","F_C[6].7","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_MOL,"MTR/BM1-10 Motor Overload","","F_C[6].4","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_MSD_OFF,"MTR/BM1-10 Disconnect Off","","F_C[6].8","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_OUTSERV,"MTR/BM1-10 Out of Service","","F_C[6].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_OVRIDE,"MTR/BM1-10 HMI Override","","F_C[6].10","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_PE_JAMMED,"MTR/BM1-10 PE Jam","","F_PE[0].4","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_10_VFD_FAULT,"MTR/BM1-10 VFD Fault","","F_C[6].5","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_CTCTR_FAULT,"MTR/BM1-11 Contactor Fault","","F_C[5].31","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_ENCODER_FAULT,"MTR/BM1-11 Encoder Fault","","F_C[6].0","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_MOL,"MTR/BM1-11 Motor Overload","","F_C[5].29","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_MSD_OFF,"MTR/BM1-11 Disconnect Off","","F_C[6].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_OUTSERV,"MTR/BM1-11 Out of Service","","F_C[6].2","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_OVRIDE,"MTR/BM1-11 HMI Override","","F_C[6].3","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_PE_JAMMED,"MTR/BM1-11 PE Jam","","F_PE[0].5","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_11_VFD_FAULT,"MTR/BM1-11 VFD Fault","","F_C[5].30","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_CTCTR_FAULT,"MTR/BM1-12 Contactor Fault","","F_C[5].24","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_ENCODER_FAULT,"MTR/BM1-12 Encoder Fault","","F_C[5].25","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_MOL,"MTR/BM1-12 Motor Overload","","F_C[5].22","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_MSD_OFF,"MTR/BM1-12 Disconnect Off","","F_C[5].26","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_OUTSERV,"MTR/BM1-12 Out of Service","","F_C[5].27","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_OVRIDE,"MTR/BM1-12 HMI Override","","F_C[5].28","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_PE_JAMMED,"MTR/BM1-12 PE Jam","","F_PE[0].6","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_12_VFD_FAULT,"MTR/BM1-12 VFD Fault","","F_C[5].23","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_CS_E_STOP,"MTR/BM1-13 CS E-Stop Active","","F_CS3A[0].0","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_CS_E_STOP_RESET,"MTR/BM1-13 CS E-Stop Reset","","F_CS3A[0].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_CTCTR_FAULT,"MTR/BM1-13 Contactor Fault","","F_C[5].17","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_ENCODER_FAULT,"MTR/BM1-13 Encoder Fault","","F_C[5].18","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_MOL,"MTR/BM1-13 Motor Overload","","F_C[5].15","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_MSD_OFF,"MTR/BM1-13 Disconnect Off","","F_C[5].19","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_OUTSERV,"MTR/BM1-13 Out of Service","","F_C[5].20","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_OVRIDE,"MTR/BM1-13 HMI Override","","F_C[5].21","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_PE_JAMMED,"MTR/BM1-13 PE Jam","","F_PE[0].7","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_13_VFD_FAULT,"MTR/BM1-13 VFD Fault","","F_C[5].16","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS1_E_STOP,"MTR/BM1-14 CS-A E-Stop Active","","F_CS1A[0].8","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS1_E_STOP1,"MTR/BM1-14 CS1 E-Stop Active","","F_CS1A[0].8","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS1_E_STOP_RESET,"MTR/BM1-14 CS-A E-Stop Reset","","F_CS1A[0].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS1_E_STOP_RESET1,"MTR/BM1-14 CS1 E-Stop Reset","","F_CS1A[0].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS2_E_STOP,"MTR/BM1-14 CS-B E-Stop Active","","F_CS1A[0].10","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS2_E_STOP1,"MTR/BM1-14 CS2 E-Stop Active","","F_CS1A[0].10","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS2_E_STOP_RESET,"MTR/BM1-14 CS-B E-Stop Reset","","F_CS1A[0].11","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CS2_E_STOP_RESET1,"MTR/BM1-14 CS2 E-Stop Reset","","F_CS1A[0].11","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_CTCTR_FAULT,"MTR/BM1-14 Contactor Fault","","F_C[5].10","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_ENCODER_FAULT,"MTR/BM1-14 Encoder Fault","","F_C[5].11","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_MOL,"MTR/BM1-14 Motor Overload","","F_C[5].8","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_MSD_OFF,"MTR/BM1-14 Disconnect Off","","F_C[5].12","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_OUTSERV,"MTR/BM1-14 Out of Service","","F_C[5].13","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_OVRIDE,"MTR/BM1-14 HMI Override","","F_C[5].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_PE1_JAMMED,"MTR/BM1-14 PE-A Jam","","F_PE[0].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_PE1_JAMMED1,"MTR/BM1-14 PE1 Jam","","F_PE[0].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_PE2_JAMMED,"MTR/BM1-14 PE-B Jam","","F_PE[0].8","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_PE2_JAMMED1,"MTR/BM1-14 PE2 Jam","","F_PE[0].8","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_14_VFD_FAULT,"MTR/BM1-14 VFD Fault","","F_C[5].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_CS_E_STOP,"MTR/BM1-15 CS E-Stop Active","","F_CS1A[0].12","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_CS_E_STOP_RESET,"MTR/BM1-15 CS E-Stop Reset","","F_CS1A[0].13","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_CTCTR_FAULT,"MTR/BM1-15 Contactor Fault","","F_C[5].3","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_ENCODER_FAULT,"MTR/BM1-15 Encoder Fault","","F_C[5].4","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_MOL,"MTR/BM1-15 Motor Overload","","F_C[5].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_MSD_OFF,"MTR/BM1-15 Disconnect Off","","F_C[5].5","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_OUTSERV,"MTR/BM1-15 Out of Service","","F_C[5].6","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_OVRIDE,"MTR/BM1-15 HMI Override","","F_C[5].7","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_PE_JAMMED,"MTR/BM1-15 PE Jam","","F_PE[0].10","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_15_VFD_FAULT,"MTR/BM1-15 VFD Fault","","F_C[5].2","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS1_E_STOP,"MTR/BM1-16 CS-A E-Stop Active","","F_CS1A[0].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS1_E_STOP1,"MTR/BM1-16 CS1 E-Stop Active","","F_CS1A[0].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS1_E_STOP_RESET,"MTR/BM1-16 CS-A E-Stop Reset","","F_CS1A[0].15","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS1_E_STOP_RESET1,"MTR/BM1-16 CS1 E-Stop Reset","","F_CS1A[0].15","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS2_E_STOP,"MTR/BM1-16 CS-B E-Stop Active","","F_CS1A[0].16","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS2_E_STOP1,"MTR/BM1-16 CS2 E-Stop Active","","F_CS1A[0].16","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS2_E_STOP_RESET,"MTR/BM1-16 CS-B E-Stop Reset","","F_CS1A[0].17","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CS2_E_STOP_RESET1,"MTR/BM1-16 CS2 E-Stop Reset","","F_CS1A[0].17","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_CTCTR_FAULT,"MTR/BM1-16 Contactor Fault","","F_C[4].28","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_ENCODER_FAULT,"MTR/BM1-16 Encoder Fault","","F_C[4].29","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_MOL,"MTR/BM1-16 Motor Overload","","F_C[4].26","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_MSD_OFF,"MTR/BM1-16 Disconnect Off","","F_C[4].30","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_OUTSERV,"MTR/BM1-16 Out of Service","","F_C[4].31","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_OVRIDE,"MTR/BM1-16 HMI Override","","F_C[5].0","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_PE_JAMMED,"MTR/BM1-16 PE Jam","","F_PE[0].11","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_16_VFD_FAULT,"MTR/BM1-16 VFD Fault","","F_C[4].27","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS1_E_STOP,"MTR/BM1-17 CS-A E-Stop Active","","F_CS1A[0].18","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS1_E_STOP1,"MTR/BM1-17 CS1 E-Stop Active","","F_CS1A[0].18","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS1_E_STOP_RESET,"MTR/BM1-17 CS-A E-Stop Reset","","F_CS1A[0].19","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS1_E_STOP_RESET1,"MTR/BM1-17 CS1 E-Stop Reset","","F_CS1A[0].19","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS2_E_STOP,"MTR/BM1-17 CS-B E-Stop Active","","F_CS2A[0].2","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS2_E_STOP1,"MTR/BM1-17 CS2 E-Stop Active","","F_CS2A[0].2","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS2_E_STOP_RESET,"MTR/BM1-17 CS-B E-Stop Reset","","F_CS2A[0].3","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CS2_E_STOP_RESET1,"MTR/BM1-17 CS2 E-Stop Reset","","F_CS2A[0].3","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_CTCTR_FAULT,"MTR/BM1-17 Contactor Fault","","F_C[4].21","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_ENCODER_FAULT,"MTR/BM1-17 Encoder Fault","","F_C[4].22","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_MOL,"MTR/BM1-17 Motor Overload","","F_C[4].19","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_MSD_OFF,"MTR/BM1-17 Disconnect Off","","F_C[4].23","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_OUTSERV,"MTR/BM1-17 Out of Service","","F_C[4].24","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_OVRIDE,"MTR/BM1-17 HMI Override","","F_C[4].25","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_PE_JAMMED,"MTR/BM1-17 PE Jam","","F_PE[0].12","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_17_VFD_FAULT,"MTR/BM1-17 VFD Fault","","F_C[4].20","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_CS_E_STOP,"MTR/BM1-18 CS E-Stop Active","","F_CS1A[0].20","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_CS_E_STOP_RESET,"MTR/BM1-18 CS E-Stop Reset","","F_CS1A[0].21","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_CTCTR_FAULT,"MTR/BM1-18 Contactor Fault","","F_C[4].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_ENCODER_FAULT,"MTR/BM1-18 Encoder Fault","","F_C[4].15","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_MOL,"MTR/BM1-18 Motor Overload","","F_C[4].12","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_MSD_OFF,"MTR/BM1-18 Disconnect Off","","F_C[4].16","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_OUTSERV,"MTR/BM1-18 Out of Service","","F_C[4].17","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_OVRIDE,"MTR/BM1-18 HMI Override","","F_C[4].18","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_PE_JAMMED,"MTR/BM1-18 PE Jam","","F_PE[0].13","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_18_VFD_FAULT,"MTR/BM1-18 VFD Fault","","F_C[4].13","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_CS_E_STOP,"MTR/BM1-19 CS E-Stop Active","","F_CS1A[0].22","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_CS_E_STOP_RESET,"MTR/BM1-19 CS E-Stop Reset","","F_CS1A[0].23","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_CTCTR_FAULT,"MTR/BM1-19 Contactor Fault","","F_C[4].7","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_ENCODER_FAULT,"MTR/BM1-19 Encoder Fault","","F_C[4].8","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_MOL,"MTR/BM1-19 Motor Overload","","F_C[4].5","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_MSD_OFF,"MTR/BM1-19 Disconnect Off","","F_C[4].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_OUTSERV,"MTR/BM1-19 Out of Service","","F_C[4].10","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_OVRIDE,"MTR/BM1-19 HMI Override","","F_C[4].11","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_PE1_JAMMED,"MTR/BM1-19 PE-A Jam","","F_PE[0].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_PE1_JAMMED1,"MTR/BM1-19 PE1 Jam","","F_PE[0].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_PE2_OVERHEIGHT,"MTR/BM1-19 PE-B Overheight","","F_OH[0].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_PE3_OVERHEIGHT,"MTR/BM1-19 PE3 Overheight","","F_OH[0].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_19_VFD_FAULT,"MTR/BM1-19 VFD Fault","","F_C[4].6","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_CS_E_STOP,"MTR/BM1-20 CS E-Stop Active","","F_CS4A[0].0","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_CS_E_STOP_RESET,"MTR/BM1-20 CS E-Stop Reset","","F_CS4A[0].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_CTCTR_FAULT,"MTR/BM1-20 Contactor Fault","","F_C[4].0","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_ENCODER_FAULT,"MTR/BM1-20 Encoder Fault","","F_C[4].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_MOL,"MTR/BM1-20 Motor Overload","","F_C[3].30","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_MSD_OFF,"MTR/BM1-20 Disconnect Off","","F_C[4].2","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_OUTSERV,"MTR/BM1-20 Out of Service","","F_C[4].3","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_OVRIDE,"MTR/BM1-20 HMI Override","","F_C[4].4","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_PE_JAMMED,"MTR/BM1-20 PE Jam","","F_PE[0].15","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_20_VFD_FAULT,"MTR/BM1-20 VFD Fault","","F_C[3].31","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_CTCTR_FAULT,"MTR/BM1-21 Contactor Fault","","F_C[3].25","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_ENCODER_FAULT,"MTR/BM1-21 Encoder Fault","","F_C[3].26","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_MOL,"MTR/BM1-21 Motor Overload","","F_C[3].23","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_MSD_OFF,"MTR/BM1-21 Disconnect Off","","F_C[3].27","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_OUTSERV,"MTR/BM1-21 Out of Service","","F_C[3].28","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_OVRIDE,"MTR/BM1-21 HMI Override","","F_C[3].29","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_PE_JAMMED,"MTR/BM1-21 PE Jam","","F_PE[0].16","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_21_VFD_FAULT,"MTR/BM1-21 VFD Fault","","F_C[3].24","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_CTCTR_FAULT,"MTR/BM1-22 Contactor Fault","","F_C[3].18","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_ENCODER_FAULT,"MTR/BM1-22 Encoder Fault","","F_C[3].19","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_MOL,"MTR/BM1-22 Motor Overload","","F_C[3].16","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_MSD_OFF,"MTR/BM1-22 Disconnect Off","","F_C[3].20","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_OUTSERV,"MTR/BM1-22 Out of Service","","F_C[3].21","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_OVRIDE,"MTR/BM1-22 HMI Override","","F_C[3].22","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_PE_JAMMED,"MTR/BM1-22 PE Jam","","F_PE[0].17","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_22_VFD_FAULT,"MTR/BM1-22 VFD Fault","","F_C[3].17","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS1_E_STOP,"MTR/BM1-23 CS-A E-Stop Active","","F_CS1A[0].24","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS1_E_STOP1,"MTR/BM1-23 CS1 E-Stop Active","","F_CS1A[0].24","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS1_E_STOP_RESET,"MTR/BM1-23 CS-A E-Stop Reset","","F_CS1A[0].25","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS1_E_STOP_RESET1,"MTR/BM1-23 CS1 E-Stop Reset","","F_CS1A[0].25","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS2_E_STOP,"MTR/BM1-23 CS-B E-Stop Active","","F_CS04[0].0","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS2_E_STOP1,"MTR/BM1-23 CS2 E-Stop Active","","F_CS04[0].0","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS2_E_STOP_RESET,"MTR/BM1-23 CS-B E-Stop Reset","","F_CS04[0].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CS2_E_STOP_RESET1,"MTR/BM1-23 CS2 E-Stop Reset","","F_CS04[0].1","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_CTCTR_FAULT,"MTR/BM1-23 Contactor Fault","","F_C[3].11","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_ENCODER_FAULT,"MTR/BM1-23 Encoder Fault","","F_C[3].12","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_MOL,"MTR/BM1-23 Motor Overload","","F_C[3].9","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_MSD_OFF,"MTR/BM1-23 Disconnect Off","","F_C[3].13","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_OUTSERV,"MTR/BM1-23 Out of Service","","F_C[3].14","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_OVRIDE,"MTR/BM1-23 HMI Override","","F_C[3].15","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_PE1_JAMMED,"MTR/BM1-23 PE-A Jam","","F_PE[0].20","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_PE1_JAMMED1,"MTR/BM1-23 PE1 Jam","","F_PE[0].20","(RADIX := Decimal, ExternalAccess := Read Only)"
ALIAS,,F_BM1_23_PE2_JAMMED,"MTR/BM1-23 PE-B Jam","","F_PE[0].19","(RADIX := Decimal, ExternalAccess := Read Only)"
